ticker,name,sector
9962.T,ミスミグループ本社,卸売業
8233.T,高島屋,小売業
3402.T,東レ,繊維製品
3401.T,帝人,繊維製品
5333.T,日本碍子,ガラス・土石製品
5232.T,住友大阪セメント,ガラス・土石製品
5201.T,AGC,ガラス・土石製品
3861.T,王子HD,パルプ・紙
3863.T,日本製紙,パルプ・紙
4543.T,テルモ,精密機器
6479.T,ミネベアミツミ,電気機器
6326.T,クボタ,機械
7269.T,スズキ,輸送用機器
2413.T,エムスリー,サービス業
4716.T,日本オラクル,情報・通信業
4587.T,ペプチドリーム,医薬品
4612.T,日本ペイントHD,化学
4536.T,参天製薬,医薬品
4541.T,日医工,医薬品
9719.T,SCSK,情報・通信業
9783.T,ベネッセHD,サービス業
2810.T,ハウス食品グループ本社,食料品
2331.T,綜合警備保障,サービス業
2768.T,双日,卸売業
3105.T,日清紡HD,繊維製品
3231.T,野村不動産HD,不動産業
3436.T,SUMCO,金属製品
3635.T,コーエーテクモHD,情報・通信業
4042.T,東ソー,化学
4061.T,デンカ,化学
4091.T,日本酸素HD,化学
4183.T,三井化学,化学
4204.T,積水化学工業,化学
4208.T,UBE,化学
4272.T,日本化薬,化学
4471.T,三洋化成工業,化学
4528.T,小野薬品工業,医薬品
4544.T,H.U.グループHD,サービス業
4569.T,キョーリン製薬HD,医薬品
4578.T,大塚HD,医薬品
4641.T,アルプス技研,サービス業
4666.T,パーク24,不動産業
4689.T,LINEヤフー,情報・通信業
4704.T,トレンドマイクロ,情報・通信業
4732.T,ユー・エス・エス,サービス業
4739.T,伊藤忠テクノソリューションズ,情報・通信業
4768.T,大塚商会,情報・通信業
4848.T,フルキャストHD,サービス業
5019.T,出光興産,石油・石炭製品
5108.T,ブリヂストン,ゴム製品
5191.T,住友理工,ゴム製品
5214.T,日本電気硝子,ガラス・土石製品
5233.T,太平洋セメント,ガラス・土石製品
5334.T,日本特殊陶業,ガラス・土石製品
5631.T,日本製鋼所,機械
5707.T,東邦亜鉛,非鉄金属
5711.T,三菱マテリアル,非鉄金属
5714.T,DOWAHD,非鉄金属
5901.T,東洋製罐グループHD,金属製品
5947.T,リンナイ,金属製品
6113.T,アマダ,機械
6135.T,牧野フライス製作所,機械
6146.T,ディスコ,機械
6166.T,中村超硬,機械
6301.T,小松製作所,機械
6302.T,住友重機械工業,機械
6305.T,日立建機,機械
6361.T,荏原製作所,機械
6383.T,ダイフク,機械
6395.T,タダノ,機械
6471.T,日本精工,機械
6472.T,NTN,機械
6473.T,ジェイテクト,機械
6504.T,富士電機,電気機器
6506.T,安川電機,電気機器
6532.T,ベイカレント・コンサルティング,サービス業
6586.T,マキタ,機械
6645.T,オムロン,電気機器
6669.T,シーシーエス,電気機器
6674.T,ジーエス・ユアサコーポレーション,電気機器
6724.T,セイコーエプソン,電気機器
6727.T,ワコム,電気機器
6755.T,富士通ゼネラル,電気機器
6762.T,TDK,電気機器
6803.T,ティアック,電気機器
6841.T,横河電機,電気機器
6845.T,アズビル,電気機器
6849.T,日本光電工業,電気機器
6856.T,堀場製作所,電気機器
6869.T,シスメックス,電気機器
6902.T,デンソー,輸送用機器
6923.T,スタンレー電気,電気機器
6925.T,ウシオ電機,電気機器
6951.T,日本電子,電気機器
6963.T,ローム,電気機器
6967.T,新光電気工業,電気機器
6976.T,太陽誘電,電気機器
6988.T,日東電工,化学
7004.T,日立造船,機械
7203.T,トヨタ自動車,輸送用機器
7261.T,マツダ,輸送用機器
7272.T,ヤマハ発動機,輸送用機器
7276.T,小糸製作所,輸送用機器
7282.T,豊田合成,輸送用機器
7309.T,シマノ,輸送用機器
7313.T,テイ・エス テック,輸送用機器
7327.T,第四北越FG,銀行業
7453.T,良品計画,小売業
7459.T,メディパルHD,卸売業
7532.T,パン・パシフィック・インターナショナルHD,小売業
7550.T,ゼンショーHD,小売業
7649.T,スギHD,小売業
7701.T,島津製作所,精密機器
7731.T,ニコン,精密機器
7735.T,SCREENホールディングス,電気機器
7752.T,リコー,電気機器
7779.T,CYBERDYNE,精密機器
7832.T,バンダイナムコHD,その他製品
7860.T,エイベックス,情報・通信業
7867.T,タカラトミー,その他製品
7912.T,大日本印刷,その他製品
7951.T,ヤマハ,その他製品
8015.T,豊田通商,卸売業
8016.T,オンワードHD,繊維製品
8050.T,セイコーグループ,精密機器
8088.T,岩谷産業,卸売業
8113.T,ユニ・チャーム,化学
8154.T,加賀電子,卸売業
8214.T,AOKIHD,小売業
8227.T,しまむら,小売業
8242.T,エイチ・ツー・オー リテイリング,小売業
8253.T,クレディセゾン,その他金融業
8281.T,ゼビオHD,小売業
8331.T,千葉銀行,銀行業
8354.T,ふくおかFG,銀行業
8358.T,スルガ銀行,銀行業
8359.T,八十二銀行,銀行業
8369.T,京都FG,銀行業
8377.T,ほくほくFG,銀行業
8385.T,伊予銀行,銀行業
8418.T,山口FG,銀行業
8424.T,芙蓉総合リース,その他金融業
8439.T,東京センチュリー,その他金融業
8511.T,日本証券金融,証券・先物
8515.T,アイフル,その他金融業
8570.T,イオンフィナンシャルサービス,その他金融業
8572.T,アコム,その他金融業
8593.T,三菱HCキャピタル,その他金融業
8595.T,ジャフコ グループ,証券・先物
8600.T,トモニHD,銀行業
8613.T,丸三証券,証券・先物
8628.T,松井証券,証券・先物
8698.T,マネックスグループ,証券・先物
8704.T,トレイダーズHD,証券・先物
8732.T,マネーパートナーズグループ,証券・先物
8750.T,第一生命HD,保険業
8755.T,損保ジャパン,保険業
8795.T,T&Dホールディングス,保険業
8804.T,東京建物,不動産業
8848.T,レオパレス21,不動産業
8876.T,リログループ,不動産業
8905.T,イオンモール,不動産業
8923.T,トーセイ,不動産業
8951.T,日本ビルファンド投資法人,不動産業
8952.T,ジャパンリアルエステイト投資法人,不動産業
8953.T,日本都市ファンド投資法人,不動産業
9001.T,東武鉄道,陸運業
9005.T,東急,陸運業
9006.T,京浜急行電鉄,陸運業
9007.T,小田急電鉄,陸運業
9008.T,京王電鉄,陸運業
9009.T,京成電鉄,陸運業
9010.T,富士急行,陸運業
9024.T,西武HD,陸運業
9041.T,近鉄グループHD,陸運業
9042.T,阪急阪神HD,陸運業
9045.T,京阪HD,陸運業
9048.T,名古屋鉄道,陸運業
9062.T,日本通運,陸運業
9064.T,ヤマトHD,陸運業
9065.T,山九,陸運業
9076.T,セイノーHD,陸運業
9086.T,日立物流,陸運業
9301.T,三菱倉庫,倉庫・運輸関連
9303.T,住友倉庫,倉庫・運輸関連
9364.T,上組,倉庫・運輸関連
9401.T,東京放送HD,情報・通信業
9404.T,日本テレビHD,情報・通信業
9412.T,スカパーJSATHD,情報・通信業
9437.T,NTTドコモ,情報・通信業
9468.T,KADOKAWA,情報・通信業
9504.T,中国電力,電気・ガス業
9506.T,東北電力,電気・ガス業
9508.T,九州電力,電気・ガス業
9513.T,J-POWER,電気・ガス業
9519.T,レノバ,電気・ガス業
9533.T,東邦ガス,電気・ガス業
9601.T,松竹,情報・通信業
9602.T,東宝,情報・通信業
9605.T,東映,情報・通信業
9616.T,共立メンテナンス,サービス業
9622.T,スペース,サービス業
9684.T,スクウェア・エニックスHD,情報・通信業
9706.T,日本空港ビルデング,空運業
9742.T,アイネス,情報・通信業
9744.T,メイテック,サービス業
9746.T,TKC,情報・通信業
9749.T,富士ソフト,情報・通信業
9755.T,応用地質,サービス業
9759.T,NSD,情報・通信業
9787.T,イオンディライト,サービス業
9788.T,ナック,サービス業
9790.T,福井コンピュータHD,情報・通信業
9792.T,ニチイ学館,サービス業
9793.T,ダイセキ,サービス業
9831.T,ヤマダHD,小売業
9843.T,ニトリHD,小売業
9861.T,吉野家HD,小売業
9869.T,加藤産業,卸売業
9882.T,イエローハット,小売業
9900.T,サガミHD,小売業
9928.T,ミロク情報サービス,情報・通信業
9942.T,ジョイフル本田,小売業
9945.T,プレナス,小売業
9948.T,アークス,小売業
9989.T,サンドラッグ,小売業
9990.T,サックスバー HD,小売業
2127.T,日本M&Aセンター,サービス業
2153.T,E・Jホールディングス,サービス業
2168.T,パソナグループ,サービス業
2170.T,リンクアンドモチベーション,サービス業
2175.T,SMS,サービス業
2181.T,パーソルHD,サービス業
2193.T,クックパッド,情報・通信業
2229.T,カルビー,食料品
2270.T,雪印メグミルク,食料品
2282.T,日本ハム,食料品
2371.T,カカクコム,情報・通信業
2372.T,アイロムグループ,サービス業
2378.T,ルネサンス,サービス業
2379.T,ディップ,サービス業
2412.T,ベネフィット・ワン,サービス業
2427.T,アウトソーシング,サービス業
2433.T,博報堂DYHD,サービス業
2438.T,アスカネット,サービス業
2475.T,WDBHD,サービス業
2491.T,バリューコマース,情報・通信業
2531.T,宝HD,食料品
2533.T,オエノンHD,食料品
2540.T,養命酒製造,食料品
2593.T,伊藤園,食料品
2602.T,日清オイリオグループ,食料品
2607.T,不二製油グループ本社,食料品
2613.T,J-オイルミルズ,食料品
2651.T,ローソン,小売業
2670.T,エービーシー・マート,小売業
2675.T,ダイナックHD,小売業
2685.T,アダストリア,小売業
2702.T,日本マクドナルドHD,小売業
2715.T,エレマテック,卸売業
2730.T,エディオン,小売業
2784.T,アルフレッサHD,卸売業
2811.T,カゴメ,食料品
2871.T,ニチレイ,食料品
2875.T,東洋水産,食料品
2882.T,イートアンド,食料品
2884.T,ヨシムラ・フード・HD,食料品
2899.T,永谷園HD,食料品
3038.T,神戸物産,卸売業
3046.T,JINSHD,小売業
3048.T,ビックカメラ,小売業
3086.T,J.フロント リテイリング,小売業
3141.T,ウエルシアHD,小売業
3148.T,クリエイトSDHD,小売業
3197.T,すかいらーくHD,小売業
3245.T,ディア・ライフ,不動産業
3349.T,コスモス薬品,小売業
3360.T,シップヘルスケアHD,卸売業
3391.T,ツルハHD,小売業
